bore_id,reg_id,state_id,lat,lon,my_depth_m,count,mean,std,min,25%,50%,75%,max,cv
32963,32963A,3,-23.8780556,150.2522222,18.15,12.0,273.9166666666667,86.8514492822327,180.0,205.5,257.5,307.5,445.0,0.3170725255207765
32965,32965A,3,-23.875,150.2405556,14.55,13.0,158.46153846153845,29.11075226502911,120.0,135.0,150.0,180.0,205.0,0.1837086307987274
33041,33041A,3,-23.9787292,150.3309454,13.8,12.0,458.6666666666667,213.9916452631369,245.0,357.5,370.0,494.5,1050.0,0.4665515521725368
33059,33059A,3,-23.90601,150.2187078,12.95,29.0,1112.4137931034484,176.47268449928512,560.0,1050.0,1100.0,1200.0,1450.0,0.15863942499935735
33060,33060A,3,-23.9086111,150.2172222,13.35,30.0,1330.2,244.10348286091207,672.0,1250.0,1300.0,1537.5,1750.0,0.1835088579618945
33061,33061A,3,-23.9004598,150.2181081,14.17,19.0,904.8947368421052,109.70510711136372,633.0,885.0,930.0,955.0,1100.0,0.12123521404733965
33062,33062A,3,-23.9105556,150.2169444,13.65,33.0,1500.0,301.98209797933384,680.0,1350.0,1500.0,1600.0,2689.0,0.20132139865288923
33138,33138A,3,-23.9152413,150.2006372,7.62,13.0,1516.6923076923076,487.0460937487308,275.0,1400.0,1550.0,1950.0,2000.0,0.32112386360670997
33330,33330A,3,-23.9552475,150.1995237,13.7,11.0,582.4545454545455,90.57744049857408,500.0,535.0,570.0,585.0,840.0,0.1555098869181075
33535,33535A,3,-24.4918235,150.5712493,16.8,31.0,300.6774193548387,78.32214973929754,174.0,246.5,280.0,344.5,470.0,0.2604856390857444
33632,33632A,3,-24.2357667,150.3936115,14.1,26.0,504.96153846153845,139.93840952911555,82.0,398.5,557.5,606.75,660.0,0.2771268678312898
33675,33675A,3,-24.3648392,150.5910522,16.45,52.0,281.4230769230769,105.99913912966116,121.0,190.0,282.5,351.25,594.0,0.3766540409144718
33681,33681A,3,-24.4460143,150.5071778,16.7,25.0,377.68,202.61904319847795,184.0,225.0,244.0,600.0,680.0,0.536483380635665
33686,33686A,3,-24.358862,150.5630766,17.25,35.0,167.97142857142856,59.86282638827938,78.0,125.0,149.0,219.0,312.0,0.3563869575760807
33696,33696A,3,-24.5038632,150.633234,18.3,16.0,445.875,191.0503860242109,151.0,280.0,438.5,623.0,710.0,0.42848418508373626
33705,33705A,3,-24.4126722,150.5572809,14.6,35.0,175.65714285714284,32.21521640571776,133.0,157.5,170.0,191.0,291.0,0.1833982716656021
33735,33735A,3,-24.1435625,150.3790949,15.5,23.0,335.69565217391306,40.51535599184888,259.0,313.0,326.0,357.0,435.0,0.12069073796302605
33788,33788A,3,-23.9948178,150.2875499,11.85,26.0,822.3846153846154,175.2789951872333,358.0,755.5,815.0,846.25,1423.0,0.21313506102647395
33839,33839A,3,-24.0664727,150.3105261,13.1,27.0,1569.962962962963,386.6190215267063,1078.0,1294.0,1500.0,1700.0,2521.0,0.24625996322680577
33896,33896A,3,-23.9951058,150.2900981,14.15,13.0,935.2307692307692,118.83262307839676,745.0,830.0,980.0,1000.0,1132.0,0.12706235400716878
33899,33899A,3,-24.5125885,150.6413562,20.7,16.0,273.375,109.17134850011396,31.0,256.25,285.0,335.0,495.0,0.3993464965710616
33985,33985A,3,-23.930718,150.2509751,7.9,15.0,964.4666666666668,222.85384918201007,642.0,787.5,912.0,1200.0,1300.0,0.2310643352270789
33986,33986A,3,-24.4000726,150.4837435,15.2,17.0,544.2941176470588,151.36163843007017,383.0,440.0,500.0,610.0,900.0,0.278087955615605
33989,33989A,3,-23.9746129,150.3611421,12.2,11.0,386.1818181818182,115.90238839801204,235.0,351.5,355.0,390.0,700.0,0.3001238870946639
34011,34011A,3,-24.4092235,150.4941281,15.8,34.0,283.6470588235294,66.8398730358682,154.0,252.0,270.0,303.75,495.0,0.235644512984189
